Skills,Experience,Education,Certifications,Job_Role,Recruiter_Decision,Salary_Expectation,Projects_Count,AI_Score,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelA_Hire_Prob,ModelA_Prediction,ModelA_Pred_Label,ModelA_Rank
"Java, C++, React, SQL",10,PhD,Deep Learning Specialization,Software Engineer,Hire,77427,10,100,4,1,3,4,1.0,1,Hire,1
"TensorFlow, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,Hire,53035,10,100,3,1,0,2,1.0,1,Hire,1
"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,Reject,99578,0,45,2,1,2,0,1.0,1,Hire,1
"SQL, Machine Learning, Python, Deep Learning",6,B.Tech,Deep Learning Specialization,Data Scientist,Hire,77388,4,100,2,1,2,1,1.0,1,Hire,1
"SQL, C++, Java, React",4,MBA,,Software Engineer,Hire,119370,3,75,3,3,3,3,1.0,1,Hire,1
"Linux, Ethical Hacking, Networking",4,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,62790,9,100,3,1,1,2,1.0,1,Hire,1
"C++, Java, React",4,MBA,Google ML,Software Engineer,Hire,53412,0,65,3,2,3,3,1.0,1,Hire,1
"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,Hire,101471,0,70,3,2,2,3,1.0,1,Hire,1
"SQL, Python",9,B.Sc,Deep Learning Specialization,Data Scientist,Hire,66133,2,100,2,1,2,0,1.0,1,Hire,1
"NLP, Pytorch, TensorFlow",8,MBA,Deep Learning Specialization,AI Researcher,Hire,102267,6,100,3,1,0,3,1.0,1,Hire,1
"Cybersecurity, Linux, Ethical Hacking",3,MBA,,Cybersecurity Analyst,Hire,103993,9,90,3,3,1,3,1.0,1,Hire,1
"Networking, Linux, Ethical Hacking, Cybersecurity",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,61659,10,100,2,2,1,1,1.0,1,Hire,1
"Cybersecurity, Networking, Linux, Ethical Hacking",6,B.Sc,,Cybersecurity Analyst,Hire,102518,7,100,2,3,1,0,1.0,1,Hire,1
"React, SQL, Java",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,57933,3,100,2,1,3,0,1.0,1,Hire,1
"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270,3,100,3,1,1,3,1.0,1,Hire,1
"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006,7,90,3,0,0,2,1.0,1,Hire,1
"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208,9,100,3,0,1,2,1.0,1,Hire,1
"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957,5,100,2,2,1,1,1.0,1,Hire,1
"SQL, Machine Learning, Python, Deep Learning",2,MBA,AWS Certified,Data Scientist,Hire,58438,6,80,3,0,2,3,1.0,1,Hire,1
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,,Data Scientist,Hire,112155,0,70,2,3,2,1,1.0,1,Hire,1
"Networking, Cybersecurity, Linux, Ethical Hacking",10,B.Tech,,Cybersecurity Analyst,Hire,101100,10,100,2,3,1,1,1.0,1,Hire,1
"Cybersecurity, Linux, Ethical Hacking",5,MBA,AWS Certified,Cybersecurity Analyst,Hire,59821,5,100,3,0,1,3,1.0,1,Hire,1
"Networking, Linux, Ethical Hacking, Cybersecurity",7,PhD,,Cybersecurity Analyst,Hire,92893,7,100,4,3,1,4,1.0,1,Hire,1
"TensorFlow, NLP, Python, Pytorch",8,M.Tech,Google ML,AI Researcher,Hire,100399,7,100,3,2,0,2,1.0,1,Hire,1
"React, SQL, Java, C++",2,M.Tech,Deep Learning Specialization,Software Engineer,Hire,99600,3,65,3,1,3,2,1.0,1,Hire,1
"NLP, TensorFlow, Python, Pytorch",6,MBA,AWS Certified,AI Researcher,Hire,102676,0,90,3,0,0,3,1.0,1,Hire,1
"Pytorch, TensorFlow, Python",8,M.Tech,,AI Researcher,Hire,82202,5,100,3,3,0,2,1.0,1,Hire,1
"Machine Learning, Deep Learning",9,PhD,,Data Scientist,Hire,51682,8,100,4,3,2,4,1.0,1,Hire,1
"SQL, Machine Learning",9,PhD,AWS Certified,Data Scientist,Hire,119901,3,100,4,0,2,4,1.0,1,Hire,1
"Pytorch, TensorFlow, Python, NLP",4,B.Tech,,AI Researcher,Hire,66621,5,85,2,3,0,1,1.0,1,Hire,1
"Java, C++",8,M.Tech,AWS Certified,Software Engineer,Hire,71678,0,100,3,0,3,2,1.0,1,Hire,1
"React, C++, Java",5,PhD,AWS Certified,Software Engineer,Hire,72099,10,100,4,0,3,4,1.0,1,Hire,1
"Java, React, C++, SQL",7,PhD,Deep Learning Specialization,Software Engineer,Hire,55916,6,100,4,1,3,4,1.0,1,Hire,1
"NLP, TensorFlow, Pytorch",9,PhD,,AI Researcher,Hire,88498,9,100,4,3,0,4,1.0,1,Hire,1
"Machine Learning, SQL, Deep Learning",5,B.Tech,Deep Learning Specialization,Data Scientist,Hire,59033,4,95,2,1,2,1,1.0,1,Hire,1
"NLP, Python, TensorFlow",9,B.Tech,AWS Certified,AI Researcher,Hire,105695,0,100,2,0,0,1,1.0,1,Hire,1
"Java, SQL",5,B.Tech,Google ML,Software Engineer,Hire,81801,1,75,2,2,3,1,1.0,1,Hire,1
"Ethical Hacking, Networking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,49346,3,55,3,1,1,3,1.0,1,Hire,1
"Java, SQL",2,MBA,,Software Engineer,Hire,66087,9,75,3,3,3,3,1.0,1,Hire,1
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,Hire,48252,4,100,3,0,3,2,1.0,1,Hire,1
"Python, SQL, Deep Learning",2,PhD,AWS Certified,Data Scientist,Hire,82119,8,85,4,0,2,4,1.0,1,Hire,1
"Python, Pytorch",5,MBA,AWS Certified,AI Researcher,Hire,101270,7,100,3,0,0,3,1.0,1,Hire,1
"Ethical Hacking, Networking, Cybersecurity, Linux",8,B.Sc,,Cybersecurity Analyst,Hire,99384,1,100,2,3,1,0,1.0,1,Hire,1
"Machine Learning, Python, Deep Learning, SQL",5,M.Tech,Deep Learning Specialization,Data Scientist,Hire,95222,5,100,3,1,2,2,1.0,1,Hire,1
"Java, React, SQL, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,88155,8,100,2,1,3,1,1.0,1,Hire,1
"React, C++, SQL, Java",7,M.Tech,Google ML,Software Engineer,Hire,67871,10,100,3,2,3,2,1.0,1,Hire,1
"Python, Machine Learning",2,B.Sc,Deep Learning Specialization,Data Scientist,Reject,71635,1,45,2,1,2,0,1.0,1,Hire,1
"C++, SQL, Java, React",7,B.Sc,,Software Engineer,Hire,117476,10,100,2,3,3,0,1.0,1,Hire,1
"C++, React, SQL, Java",5,PhD,Deep Learning Specialization,Software Engineer,Hire,101120,5,100,4,1,3,4,1.0,1,Hire,1
"Ethical Hacking, Networking",6,PhD,AWS Certified,Cybersecurity Analyst,Hire,66054,2,90,4,0,1,4,1.0,1,Hire,1
"Cybersecurity, Networking, Ethical Hacking",4,MBA,,Cybersecurity Analyst,Hire,112115,9,100,3,3,1,3,1.0,1,Hire,1
"Deep Learning, Python",5,MBA,AWS Certified,Data Scientist,Hire,100800,3,85,3,0,2,3,1.0,1,Hire,1
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,,Data Scientist,Hire,92538,1,75,2,3,2,1,1.0,1,Hire,1
"SQL, Python",7,PhD,,Data Scientist,Hire,72691,1,85,4,3,2,4,1.0,1,Hire,1
"SQL, Deep Learning, Python, Machine Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,Hire,72143,10,100,3,1,2,2,1.0,1,Hire,1
"NLP, TensorFlow, Pytorch",7,MBA,,AI Researcher,Hire,88358,4,100,3,3,0,3,1.0,1,Hire,1
"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,Deep Learning Specialization,Data Scientist,Hire,82300,4,100,2,1,2,0,1.0,1,Hire,1
"Pytorch, NLP, Python, TensorFlow",7,M.Tech,AWS Certified,AI Researcher,Hire,112353,10,100,3,0,0,2,1.0,1,Hire,1
"TensorFlow, NLP",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,111697,4,100,2,1,0,0,1.0,1,Hire,1
"Pytorch, TensorFlow, NLP",8,PhD,Deep Learning Specialization,AI Researcher,Hire,50670,0,100,4,1,0,4,1.0,1,Hire,1
"Linux, Networking, Ethical Hacking, Cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,Hire,81596,3,100,3,2,1,2,1.0,1,Hire,1
"Linux, Cybersecurity",9,B.Sc,,Cybersecurity Analyst,Hire,62823,7,100,2,3,1,0,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Networking, Linux",6,PhD,Google ML,Cybersecurity Analyst,Hire,67810,1,95,4,2,1,4,1.0,1,Hire,1
"C++, React, SQL, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,84438,10,100,2,0,3,0,1.0,1,Hire,1
"Machine Learning, Python, Deep Learning, SQL",9,B.Tech,Google ML,Data Scientist,Hire,107697,5,100,2,2,2,1,1.0,1,Hire,1
"Java, C++, React, SQL",8,PhD,Google ML,Software Engineer,Hire,77705,0,100,4,2,3,4,1.0,1,Hire,1
"Python, Deep Learning",6,PhD,Google ML,Data Scientist,Hire,63260,8,100,4,2,2,4,1.0,1,Hire,1
"Java, SQL, C++",9,B.Tech,Google ML,Software Engineer,Hire,113365,8,100,2,2,3,1,1.0,1,Hire,1
"NLP, TensorFlow",4,MBA,Google ML,AI Researcher,Hire,49331,7,95,3,2,0,3,1.0,1,Hire,1
"Pytorch, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,Hire,99429,9,65,3,0,0,2,1.0,1,Hire,1
"Pytorch, TensorFlow, NLP",1,MBA,AWS Certified,AI Researcher,Hire,64694,9,80,3,0,0,3,1.0,1,Hire,1
"NLP, Pytorch, Python",10,B.Tech,Google ML,AI Researcher,Hire,119307,2,100,2,2,0,1,1.0,1,Hire,1
"Ethical Hacking, Cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,76203,2,60,2,1,1,0,1.0,1,Hire,1
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,Hire,106352,10,100,2,2,0,0,1.0,1,Hire,1
"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,Hire,53167,9,100,2,1,2,1,1.0,1,Hire,1
"SQL, Python, Deep Learning",3,MBA,,Data Scientist,Hire,112439,10,95,3,3,2,3,1.0,1,Hire,1
"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,,Cybersecurity Analyst,Hire,66379,6,80,2,3,1,1,1.0,1,Hire,1
"SQL, Python",10,PhD,,Data Scientist,Hire,115364,2,100,4,3,2,4,1.0,1,Hire,1
"Cybersecurity, Networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,42077,9,65,3,1,1,2,1.0,1,Hire,1
"C++, SQL",8,B.Sc,Google ML,Software Engineer,Hire,112514,8,100,2,2,3,0,1.0,1,Hire,1
"Python, Machine Learning, SQL",9,PhD,Google ML,Data Scientist,Hire,104274,10,100,4,2,2,4,1.0,1,Hire,1
"Linux, Cybersecurity",9,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,78574,7,100,2,1,1,0,1.0,1,Hire,1
"Cybersecurity, Linux, Ethical Hacking",2,PhD,,Cybersecurity Analyst,Hire,51721,10,85,4,3,1,4,1.0,1,Hire,1
"NLP, Pytorch",7,PhD,AWS Certified,AI Researcher,Hire,92104,6,100,4,0,0,4,1.0,1,Hire,1
"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,99521,4,100,2,1,0,0,1.0,1,Hire,1
"Python, SQL",4,PhD,,Data Scientist,Hire,84679,10,100,4,3,2,4,1.0,1,Hire,1
"Python, NLP",3,B.Sc,,AI Researcher,Hire,95270,7,75,2,3,0,0,1.0,1,Hire,1
"Linux, Networking, Cybersecurity, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,Hire,114989,9,100,3,0,1,3,1.0,1,Hire,1
"Machine Learning, Deep Learning",6,PhD,AWS Certified,Data Scientist,Hire,117600,0,80,4,0,2,4,1.0,1,Hire,1
"Networking, Linux, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,Hire,102914,6,85,3,0,1,3,1.0,1,Hire,1
"Python, TensorFlow",5,B.Tech,Google ML,AI Researcher,Hire,88058,0,70,2,2,0,1,1.0,1,Hire,1
"Python, Deep Learning, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,Reject,72251,6,55,2,0,2,1,1.0,1,Hire,1
"Deep Learning, Machine Learning, SQL, Python",6,PhD,Deep Learning Specialization,Data Scientist,Hire,48306,10,100,4,1,2,4,1.0,1,Hire,1
"React, SQL, Java, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,Hire,75828,4,100,2,1,3,0,1.0,1,Hire,1
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,,AI Researcher,Hire,78872,4,100,2,3,0,0,1.0,1,Hire,1
"Pytorch, TensorFlow, Python, NLP",10,PhD,Google ML,AI Researcher,Hire,99512,2,100,4,2,0,4,1.0,1,Hire,1
"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,45438,3,100,3,0,1,2,1.0,1,Hire,1
"SQL, React, C++, Java",8,M.Tech,Google ML,Software Engineer,Hire,102924,7,100,3,2,3,2,1.0,1,Hire,1
"Pytorch, Python, TensorFlow",4,MBA,,AI Researcher,Hire,84358,2,65,3,3,0,3,1.0,1,Hire,1
"Java, C++, SQL, React",7,B.Sc,Google ML,Software Engineer,Hire,115954,9,100,2,2,3,0,1.0,1,Hire,1
"SQL, Python",10,PhD,AWS Certified,Data Scientist,Hire,64417,7,100,4,0,2,4,1.0,1,Hire,1
"Python, NLP, Pytorch, TensorFlow",0,B.Sc,Google ML,AI Researcher,Reject,106452,3,45,2,2,0,0,1.0,1,Hire,1
"Python, Pytorch",5,MBA,Deep Learning Specialization,AI Researcher,Hire,103073,10,100,3,1,0,3,1.0,1,Hire,1
"Python, NLP, Pytorch, TensorFlow",8,B.Tech,AWS Certified,AI Researcher,Hire,71605,3,100,2,0,0,1,1.0,1,Hire,1
"Networking, Cybersecurity, Ethical Hacking, Linux",4,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,98013,4,90,2,1,1,1,1.0,1,Hire,1
"SQL, Python",8,MBA,AWS Certified,Data Scientist,Hire,104379,6,100,3,0,2,3,1.0,1,Hire,1
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,Hire,96786,4,100,3,1,3,2,1.0,1,Hire,1
"Python, TensorFlow, NLP",1,MBA,AWS Certified,AI Researcher,Hire,52956,8,75,3,0,0,3,1.0,1,Hire,1
"SQL, Java, React",2,B.Tech,,Software Engineer,Reject,82150,4,55,2,3,3,1,1.0,1,Hire,1
"Python, Pytorch, TensorFlow, NLP",6,PhD,Deep Learning Specialization,AI Researcher,Hire,71832,4,100,4,1,0,4,1.0,1,Hire,1
"NLP, TensorFlow",6,B.Tech,Google ML,AI Researcher,Hire,106122,10,100,2,2,0,1,1.0,1,Hire,1
"Pytorch, NLP, TensorFlow",7,B.Sc,Deep Learning Specialization,AI Researcher,Hire,106421,2,100,2,1,0,0,1.0,1,Hire,1
"SQL, C++",1,B.Tech,AWS Certified,Software Engineer,Hire,45422,10,80,2,0,3,1,1.0,1,Hire,1
"Machine Learning, SQL, Python",10,PhD,,Data Scientist,Hire,95170,6,100,4,3,2,4,1.0,1,Hire,1
"Linux, Cybersecurity, Ethical Hacking",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,59707,8,100,2,1,1,0,1.0,1,Hire,1
"React, SQL, Java, C++",1,PhD,AWS Certified,Software Engineer,Hire,58162,5,65,4,0,3,4,1.0,1,Hire,1
"Pytorch, TensorFlow",3,MBA,,AI Researcher,Hire,81415,7,75,3,3,0,3,1.0,1,Hire,1
"C++, React",1,MBA,,Software Engineer,Reject,55836,3,35,3,3,3,3,1.0,1,Hire,1
"Machine Learning, Python, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,Hire,99842,4,75,2,0,2,1,1.0,1,Hire,1
"C++, Java",5,PhD,Google ML,Software Engineer,Hire,76165,8,100,4,2,3,4,1.0,1,Hire,1
"TensorFlow, Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,Hire,78090,6,100,2,0,0,1,1.0,1,Hire,1
"NLP, Pytorch, TensorFlow",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,72164,4,100,2,1,0,1,1.0,1,Hire,1
"Java, SQL, React",3,MBA,AWS Certified,Software Engineer,Hire,104253,8,95,3,0,3,3,1.0,1,Hire,1
"Networking, Cybersecurity, Ethical Hacking, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,100153,6,100,2,1,1,1,1.0,1,Hire,1
"SQL, Java, C++",9,B.Tech,AWS Certified,Software Engineer,Hire,84959,6,100,2,0,3,1,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,84569,7,75,3,1,1,3,1.0,1,Hire,1
"Cybersecurity, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,92129,3,100,2,1,1,1,1.0,1,Hire,1
"NLP, Python, TensorFlow",7,MBA,AWS Certified,AI Researcher,Hire,49447,10,100,3,0,0,3,1.0,1,Hire,1
"Pytorch, TensorFlow, Python, NLP",4,B.Sc,Google ML,AI Researcher,Hire,45453,5,95,2,2,0,0,1.0,1,Hire,1
"SQL, Java, C++, React",6,B.Sc,Deep Learning Specialization,Software Engineer,Hire,73268,8,100,2,1,3,0,1.0,1,Hire,1
"SQL, Python",9,PhD,Deep Learning Specialization,Data Scientist,Hire,69101,8,100,4,1,2,4,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Networking, Linux",1,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102390,6,70,3,1,1,2,1.0,1,Hire,1
"C++, React",2,B.Sc,AWS Certified,Software Engineer,Hire,96027,5,65,2,0,3,0,1.0,1,Hire,1
"Java, C++",9,MBA,Google ML,Software Engineer,Hire,82341,3,100,3,2,3,3,1.0,1,Hire,1
"NLP, Python, TensorFlow",1,PhD,Deep Learning Specialization,AI Researcher,Hire,42249,7,70,4,1,0,4,1.0,1,Hire,1
"Ethical Hacking, Cybersecurity, Networking",8,B.Tech,,Cybersecurity Analyst,Hire,66329,0,95,2,3,1,1,1.0,1,Hire,1
"TensorFlow, NLP",6,PhD,Google ML,AI Researcher,Hire,87988,1,85,4,2,0,4,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Google ML,Cybersecurity Analyst,Hire,102247,8,100,3,2,1,3,1.0,1,Hire,1
"Pytorch, TensorFlow",3,B.Tech,AWS Certified,AI Researcher,Hire,58215,9,95,2,0,0,1,1.0,1,Hire,1
"NLP, TensorFlow, Pytorch",3,M.Tech,,AI Researcher,Hire,115568,10,95,3,3,0,2,1.0,1,Hire,1
"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Hire,106472,4,65,2,1,2,1,1.0,1,Hire,1
"Linux, Ethical Hacking, Cybersecurity",4,PhD,AWS Certified,Cybersecurity Analyst,Hire,96836,1,70,4,0,1,4,1.0,1,Hire,1
"Ethical Hacking, Cybersecurity",5,PhD,Google ML,Cybersecurity Analyst,Hire,92506,5,95,4,2,1,4,1.0,1,Hire,1
"Python, SQL, Machine Learning",3,MBA,Deep Learning Specialization,Data Scientist,Hire,59564,2,65,3,1,2,3,1.0,1,Hire,1
"Pytorch, NLP, Python, TensorFlow",1,MBA,,AI Researcher,Hire,84774,9,75,3,3,0,3,1.0,1,Hire,1
"SQL, Machine Learning",5,M.Tech,AWS Certified,Data Scientist,Hire,99076,8,100,3,0,2,2,1.0,1,Hire,1
"SQL, Machine Learning",3,PhD,Deep Learning Specialization,Data Scientist,Hire,112466,9,95,4,1,2,4,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Networking, Linux",6,M.Tech,,Cybersecurity Analyst,Hire,98876,2,90,3,3,1,2,1.0,1,Hire,1
"Python, Deep Learning, SQL, Machine Learning",7,B.Tech,Google ML,Data Scientist,Hire,65981,0,100,2,2,2,1,1.0,1,Hire,1
"SQL, React, Java",6,PhD,AWS Certified,Software Engineer,Hire,99537,10,100,4,0,3,4,1.0,1,Hire,1
"TensorFlow, NLP, Pytorch",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,63269,0,85,2,1,0,1,1.0,1,Hire,1
"Python, Machine Learning",8,PhD,AWS Certified,Data Scientist,Hire,95978,4,100,4,0,2,4,1.0,1,Hire,1
"SQL, Python, Deep Learning, Machine Learning",10,PhD,,Data Scientist,Hire,119703,1,100,4,3,2,4,1.0,1,Hire,1
"Linux, Ethical Hacking",5,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,111508,7,100,2,0,1,1,1.0,1,Hire,1
"Ethical Hacking, Cybersecurity, Networking, Linux",5,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,104149,9,100,2,0,1,1,1.0,1,Hire,1
"Python, SQL",0,B.Tech,Google ML,Data Scientist,Hire,76195,10,70,2,2,2,1,1.0,1,Hire,1
"Deep Learning, Machine Learning, Python",10,B.Tech,,Data Scientist,Hire,58090,4,100,2,3,2,1,1.0,1,Hire,1
"SQL, C++, Java",6,B.Sc,,Software Engineer,Hire,113366,4,95,2,3,3,0,1.0,1,Hire,1
"Python, SQL, Deep Learning, Machine Learning",10,M.Tech,Deep Learning Specialization,Data Scientist,Hire,110158,8,100,3,1,2,2,1.0,1,Hire,1
"Machine Learning, Deep Learning, Python, SQL",4,B.Sc,,Data Scientist,Hire,51928,8,100,2,3,2,0,1.0,1,Hire,1
"Linux, Cybersecurity",5,M.Tech,,Cybersecurity Analyst,Hire,115234,10,100,3,3,1,2,1.0,1,Hire,1
"Deep Learning, Python, SQL, Machine Learning",8,MBA,,Data Scientist,Hire,115812,5,100,3,3,2,3,1.0,1,Hire,1
"TensorFlow, NLP, Pytorch, Python",8,M.Tech,Google ML,AI Researcher,Hire,53090,6,100,3,2,0,2,1.0,1,Hire,1
"SQL, Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,113251,8,100,2,1,3,1,1.0,1,Hire,1
"TensorFlow, Python, NLP, Pytorch",10,B.Sc,Deep Learning Specialization,AI Researcher,Hire,82119,2,100,2,1,0,0,1.0,1,Hire,1
"SQL, Deep Learning, Python, Machine Learning",7,M.Tech,,Data Scientist,Hire,71964,7,100,3,3,2,2,1.0,1,Hire,1
"Java, C++",3,PhD,Deep Learning Specialization,Software Engineer,Hire,53518,7,85,4,1,3,4,1.0,1,Hire,1
"React, SQL, C++",3,B.Tech,Google ML,Software Engineer,Hire,100722,5,80,2,2,3,1,1.0,1,Hire,1
"Networking, Cybersecurity, Ethical Hacking",2,B.Sc,Google ML,Cybersecurity Analyst,Hire,63016,7,80,2,2,1,0,1.0,1,Hire,1
"Networking, Ethical Hacking",1,PhD,Google ML,Cybersecurity Analyst,Hire,117535,8,70,4,2,1,4,1.0,1,Hire,1
"React, C++",7,M.Tech,AWS Certified,Software Engineer,Hire,98988,10,100,3,0,3,2,1.0,1,Hire,1
"Python, Machine Learning",8,B.Tech,AWS Certified,Data Scientist,Hire,59833,2,100,2,0,2,1,1.0,1,Hire,1
"Cybersecurity, Networking",3,PhD,,Cybersecurity Analyst,Hire,42368,9,85,4,3,1,4,1.0,1,Hire,1
"Networking, Ethical Hacking, Linux, Cybersecurity",4,PhD,,Cybersecurity Analyst,Hire,52790,2,70,4,3,1,4,1.0,1,Hire,1
"C++, SQL, React, Java",8,PhD,Deep Learning Specialization,Software Engineer,Hire,100202,5,100,4,1,3,4,1.0,1,Hire,1
"Python, TensorFlow, NLP, Pytorch",4,B.Sc,,AI Researcher,Hire,104295,6,90,2,3,0,0,1.0,1,Hire,1
"Pytorch, Python",7,B.Tech,,AI Researcher,Hire,42236,6,100,2,3,0,1,1.0,1,Hire,1
"TensorFlow, NLP",2,MBA,,AI Researcher,Hire,99963,10,80,3,3,0,3,1.0,1,Hire,1
"Java, C++, SQL",10,MBA,,Software Engineer,Hire,53207,1,100,3,3,3,3,1.0,1,Hire,1
"Python, TensorFlow, Pytorch, NLP",3,PhD,,AI Researcher,Hire,63325,8,90,4,3,0,4,1.0,1,Hire,1
"Networking, Ethical Hacking",2,PhD,AWS Certified,Cybersecurity Analyst,Hire,106309,7,75,4,0,1,4,1.0,1,Hire,1
"React, SQL, C++",6,M.Tech,Google ML,Software Engineer,Hire,100827,10,100,3,2,3,2,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking",6,MBA,AWS Certified,Cybersecurity Analyst,Hire,56096,8,100,3,0,1,3,1.0,1,Hire,1
"Ethical Hacking, Linux, Networking",3,M.Tech,,Cybersecurity Analyst,Reject,95288,3,60,3,3,1,2,1.0,1,Hire,1
"React, Java, C++",5,B.Tech,Google ML,Software Engineer,Hire,115813,0,75,2,2,3,1,1.0,1,Hire,1
"TensorFlow, Pytorch, NLP",10,M.Tech,AWS Certified,AI Researcher,Hire,58221,8,100,3,0,0,2,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Linux",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,59885,2,100,2,1,1,1,1.0,1,Hire,1
"Deep Learning, Python, SQL",3,B.Sc,Google ML,Data Scientist,Hire,64716,2,65,2,2,2,0,1.0,1,Hire,1
"Linux, Cybersecurity, Ethical Hacking",4,M.Tech,,Cybersecurity Analyst,Hire,114988,5,80,3,3,1,2,1.0,1,Hire,1
"Java, SQL, C++",8,PhD,,Software Engineer,Hire,59474,3,100,4,3,3,4,1.0,1,Hire,1
"Python, Machine Learning",10,MBA,Google ML,Data Scientist,Hire,89482,5,100,3,2,2,3,0.992,1,Hire,391
"C++, React",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,49673,5,100,3,1,3,2,0.99,1,Hire,392
"React, Java, C++, SQL",3,PhD,Google ML,Software Engineer,Hire,63537,2,70,4,2,3,4,0.99,1,Hire,392
"SQL, Java, C++",3,M.Tech,,Software Engineer,Hire,46781,6,75,3,3,3,2,0.99,1,Hire,392
"SQL, Java",3,B.Tech,,Software Engineer,Hire,63531,8,80,2,3,3,1,0.99,1,Hire,392
"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,97006,5,100,3,2,1,2,0.99,1,Hire,392
"React, Java, SQL, C++",5,PhD,Deep Learning Specialization,Software Engineer,Hire,94954,10,100,4,1,3,4,0.99,1,Hire,392
"Machine Learning, Deep Learning, Python",3,B.Sc,AWS Certified,Data Scientist,Hire,79930,9,100,2,0,2,0,0.99,1,Hire,392
"Python, SQL",1,MBA,Deep Learning Specialization,Data Scientist,Hire,112556,7,65,3,1,2,3,0.99,1,Hire,392
"C++, SQL",5,M.Tech,Google ML,Software Engineer,Hire,41530,0,70,3,2,3,2,0.99,1,Hire,392
"Networking, Cybersecurity",7,PhD,,Cybersecurity Analyst,Hire,50704,0,80,4,3,1,4,0.99,1,Hire,392
"Deep Learning, Machine Learning, SQL, Python",1,M.Tech,Deep Learning Specialization,Data Scientist,Hire,79991,10,90,3,1,2,2,0.99,1,Hire,392
"C++, Java, SQL",3,PhD,Deep Learning Specialization,Software Engineer,Hire,98746,4,75,4,1,3,4,0.99,1,Hire,392
