Skills,Experience,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Salary_Expectation,Projects_Count
"Ethical Hacking, Linux, Networking, Cybersecurity",6,2,2,1,59129,5
"Python, Pytorch",5,3,0,0,101270,7
"TensorFlow, Pytorch, NLP, Python",8,3,1,0,94384,0
"C++, Java",4,3,1,3,43297,2
"Python, NLP, Pytorch",2,4,0,0,80377,1
"Cybersecurity, Networking",1,2,2,1,94563,6
"Python, NLP, TensorFlow",7,2,2,0,62487,8
"Deep Learning, SQL, Machine Learning, Python",1,3,0,2,86355,4
"SQL, Deep Learning, Python, Machine Learning",8,2,2,2,118651,5
"SQL, Python",10,2,0,2,59926,4
"Machine Learning, Deep Learning, SQL, Python",2,4,0,2,80720,6
"Networking, Cybersecurity",3,4,3,1,93508,4
"SQL, C++, Java",4,2,1,3,50410,10
"Ethical Hacking, Networking, Linux",1,3,2,1,57375,2
"Java, React",9,2,0,3,79610,1
"Networking, Cybersecurity, Linux, Ethical Hacking",7,3,2,1,117704,10
"Python, Machine Learning, SQL",6,4,3,2,46741,1
"Python, TensorFlow, NLP",1,3,0,0,52956,8
"NLP, TensorFlow, Python",0,3,1,0,65417,3
"Networking, Linux",10,4,3,1,82245,2
"TensorFlow, NLP, Python, Pytorch",6,3,1,0,115539,9
"Python, Machine Learning",7,3,3,2,98540,0
"Networking, Cybersecurity, Ethical Hacking",4,3,0,1,66208,9
"Deep Learning, SQL, Python, Machine Learning",1,4,1,2,52288,1
"Deep Learning, Machine Learning, SQL, Python",6,4,1,2,48306,10
"Python, SQL, Machine Learning",3,4,2,2,55365,1
"React, Java, SQL, C++",5,4,1,3,94954,10
"Cybersecurity, Ethical Hacking, Networking",0,3,2,1,62708,5
"SQL, Machine Learning, Deep Learning",0,2,1,2,113435,2
"SQL, Java",7,3,0,3,115275,5
"SQL, Python",9,2,1,2,66133,2
"Ethical Hacking, Linux, Networking, Cybersecurity",0,2,2,1,76108,5
"Ethical Hacking, Cybersecurity",5,4,2,1,92506,5
"Machine Learning, Python",1,3,0,2,108606,3
"Linux, Ethical Hacking",3,3,0,1,45271,2
"React, Java, SQL",3,2,3,3,118891,0
"Machine Learning, Deep Learning",7,2,0,2,43930,8
"React, SQL",8,3,0,3,46717,6
"Linux, Ethical Hacking, Networking",10,2,1,1,108070,1
"Java, SQL, React",5,3,3,3,49176,8
"Networking, Linux, Ethical Hacking, Cybersecurity",7,4,3,1,92893,7
"Linux, Networking, Cybersecurity",6,3,3,1,59504,1
"Pytorch, NLP, Python, TensorFlow",7,3,0,0,112353,10
"Deep Learning, Machine Learning, SQL, Python",1,4,3,2,108185,8
"Cybersecurity, Linux, Networking, Ethical Hacking",0,3,0,1,77105,4
"Cybersecurity, Ethical Hacking, Linux",1,2,2,1,65313,7
"Pytorch, NLP, Python, TensorFlow",5,2,3,0,56104,6
"NLP, TensorFlow, Python, Pytorch",6,3,0,0,102676,0
"C++, Java",9,3,1,3,51284,4
"Ethical Hacking, Cybersecurity, Networking",3,2,1,1,50972,1
"Java, SQL, C++",0,2,0,3,52290,2
"Deep Learning, Python, SQL",3,2,2,2,64716,2
"Networking, Cybersecurity, Ethical Hacking, Linux",4,2,1,1,98013,4
"Deep Learning, Python, SQL, Machine Learning",1,4,0,2,84131,3
"Java, SQL, C++",9,2,2,3,113365,8
"TensorFlow, Python, NLP, Pytorch",0,3,3,0,113643,4
"Machine Learning, Deep Learning, Python, SQL",6,3,3,2,76085,4
"Deep Learning, Python",6,3,1,2,53984,7
"Ethical Hacking, Linux, Cybersecurity, Networking",1,2,1,1,80647,8
"Networking, Ethical Hacking, Linux, Cybersecurity",10,3,2,1,97006,5
"Ethical Hacking, Networking",6,4,2,1,45959,5
"SQL, Python, Machine Learning, Deep Learning",3,3,1,2,102054,1
"Python, Pytorch",3,4,1,0,43097,8
"SQL, Deep Learning",6,2,1,2,116832,1
"Linux, Cybersecurity",9,2,3,1,62823,7
"Networking, Cybersecurity, Ethical Hacking, Linux",7,2,1,1,100153,6
"SQL, C++",0,2,2,3,46679,5
"Linux, Networking, Cybersecurity, Ethical Hacking",8,4,0,1,83146,10
"React, SQL",4,4,3,3,108770,10
"SQL, C++, React",7,3,0,3,49907,4
"Cybersecurity, Networking, Ethical Hacking, Linux",5,2,0,1,74090,3
"Python, TensorFlow",5,2,2,0,88058,0
"Python, Deep Learning, Machine Learning",2,2,1,2,106472,4
"Linux, Cybersecurity, Ethical Hacking",8,4,1,1,71624,8
"Python, NLP, Pytorch, TensorFlow",6,4,1,0,65650,3
"SQL, Java, C++, React",6,2,1,3,73268,8
"TensorFlow, NLP, Pytorch",6,4,0,0,41199,9
"Python, Machine Learning",8,2,1,2,95958,2
"Linux, Networking, Ethical Hacking, Cybersecurity",9,3,2,1,81596,3
"Cybersecurity, Networking, Ethical Hacking",1,2,2,1,56827,4
"TensorFlow, NLP",6,4,0,0,64951,8
"SQL, C++, Java, React",3,3,2,3,44121,0
"Pytorch, Python",9,4,1,0,97435,7
"Cybersecurity, Linux, Networking, Ethical Hacking",0,3,3,1,92175,10
"Ethical Hacking, Cybersecurity, Linux",1,2,1,1,117772,2
"SQL, C++, React, Java",4,3,2,3,59448,9
"Python, Deep Learning, SQL, Machine Learning",9,3,3,2,93197,0
"Java, C++, SQL",9,3,1,3,82288,0
"Deep Learning, Machine Learning",4,4,0,2,103828,0
"Cybersecurity, Linux, Ethical Hacking, Networking",7,2,0,1,95709,8
"C++, Java, React, SQL",10,3,1,3,103925,9
"TensorFlow, Pytorch, NLP",3,3,0,0,103006,7
"TensorFlow, NLP, Pytorch, Python",4,4,1,0,89633,2
"Networking, Cybersecurity, Linux, Ethical Hacking",8,3,2,1,104087,4
"Python, Pytorch, TensorFlow",7,2,0,0,46848,0
"Cybersecurity, Ethical Hacking, Linux",7,3,0,1,63157,4
"TensorFlow, NLP, Python",10,3,2,0,65446,9
"TensorFlow, NLP, Python",1,3,3,0,76442,2
"Deep Learning, Python, SQL, Machine Learning",0,4,3,2,95742,2
"Networking, Ethical Hacking",0,4,1,1,63561,5
"SQL, Python",10,4,3,2,115364,2
"Python, Pytorch, TensorFlow, NLP",6,4,1,0,71832,4
"Ethical Hacking, Cybersecurity, Networking, Linux",3,3,2,1,93303,1
"Ethical Hacking, Networking, Cybersecurity",10,3,1,1,51159,8
"Linux, Networking, Cybersecurity",3,3,1,1,105232,1
"C++, SQL",6,3,0,3,83118,3
"React, SQL",10,3,0,3,113587,0
"Cybersecurity, Networking",4,4,3,1,87051,0
"Linux, Cybersecurity",9,2,1,1,78574,7
"SQL, Java, React",1,3,0,3,48917,3
"Networking, Linux, Ethical Hacking, Cybersecurity",4,2,3,1,75555,0
"Cybersecurity, Linux, Ethical Hacking",0,2,3,1,114364,9
"C++, Java, SQL",2,3,2,3,62255,7
"SQL, Java, C++",3,3,3,3,46781,6
"TensorFlow, NLP",7,3,1,0,45655,6
"Machine Learning, Deep Learning, Python",3,2,0,2,79930,9
"NLP, Pytorch, TensorFlow",2,4,1,0,47573,3
"NLP, TensorFlow",6,2,2,0,106122,10
"Cybersecurity, Ethical Hacking, Linux, Networking",1,2,2,1,51229,2
"Networking, Cybersecurity, Ethical Hacking, Linux",1,2,0,1,86274,3
"React, Java",5,2,0,3,70378,8
"SQL, Machine Learning, Deep Learning",3,4,3,2,91090,2
"Machine Learning, SQL, Python, Deep Learning",7,2,2,2,71459,0
"Networking, Cybersecurity",1,4,3,1,100697,9
"Python, NLP",5,2,2,0,54525,8
"SQL, Machine Learning",5,2,1,2,42998,6
"C++, Java",5,2,1,3,116922,0
"Pytorch, TensorFlow, NLP",8,2,0,0,80736,2
"Machine Learning, Deep Learning, Python",9,3,2,2,84443,3
"Networking, Ethical Hacking, Cybersecurity, Linux",9,3,1,1,73181,5
"Cybersecurity, Ethical Hacking, Networking, Linux",3,3,3,1,53096,7
"NLP, TensorFlow",7,3,2,0,99118,1
"SQL, C++",7,3,1,3,61986,5
"TensorFlow, NLP, Python",3,4,0,0,71785,7
"Deep Learning, Machine Learning, SQL",5,3,3,2,79635,9
"SQL, Machine Learning",2,2,3,2,116999,2
"C++, Java, React",4,3,2,3,53412,0
"Deep Learning, SQL, Python, Machine Learning",4,3,3,2,60868,7
"SQL, Python",8,3,1,2,75286,10
"TensorFlow, Pytorch, NLP, Python",6,4,2,0,64338,10
"Deep Learning, Machine Learning, SQL",5,2,2,2,41593,4
"Python, SQL",0,4,1,2,118756,9
"Linux, Cybersecurity, Ethical Hacking",4,3,0,1,67535,1
"Ethical Hacking, Linux, Networking, Cybersecurity",6,3,3,1,90173,4
"Machine Learning, SQL, Deep Learning",5,2,1,2,59033,4
"Pytorch, NLP",5,3,0,0,64489,4
"Deep Learning, Python, SQL, Machine Learning",8,3,3,2,115812,5
"Java, React, C++",10,3,3,3,74425,5
"SQL, Deep Learning, Machine Learning",1,3,3,2,44099,8
"Cybersecurity, Networking, Linux, Ethical Hacking",6,2,3,1,102518,7
"C++, React, SQL, Java",2,3,3,3,96229,1
"Java, React, C++, SQL",3,2,2,3,63179,9
"Python, Deep Learning, Machine Learning, SQL",2,2,1,2,42356,3
"SQL, Machine Learning, Python, Deep Learning",4,2,1,2,73783,3
"C++, SQL, Java",0,3,0,3,41382,0
"SQL, Machine Learning, Deep Learning, Python",5,2,3,2,89620,3
"SQL, Java, C++",1,4,1,3,88945,7
"Pytorch, Python, NLP, TensorFlow",9,3,1,0,117784,3
"Pytorch, TensorFlow, Python, NLP",4,2,3,0,66621,5
"Python, Pytorch",5,3,1,0,103073,10
"NLP, TensorFlow",4,3,2,0,49331,7
"SQL, Java, React, C++",5,3,1,3,60720,7
"TensorFlow, NLP, Python",3,3,1,0,80393,10
"C++, React, SQL",9,4,2,3,113497,5
"Python, Machine Learning",9,2,2,2,83152,2
"Python, Pytorch, TensorFlow, NLP",9,3,3,0,67670,9
"Pytorch, NLP, Python",3,3,0,0,76100,6
"Machine Learning, SQL",2,3,1,2,90929,7
"NLP, TensorFlow, Pytorch",3,3,0,0,112201,6
"Python, Machine Learning",8,2,0,2,59833,2
"SQL, Java",5,2,0,3,72756,4
"TensorFlow, Pytorch, NLP, Python",1,2,0,0,86353,2
"Linux, Cybersecurity, Networking",2,2,0,1,54759,1
"Cybersecurity, Ethical Hacking, Networking, Linux",3,4,3,1,105166,5
"SQL, Java",8,2,0,3,83833,8
"SQL, Python, Machine Learning, Deep Learning",7,2,0,2,55431,2
"NLP, Python, TensorFlow",7,2,3,0,94313,9
"React, Java, SQL",4,3,1,3,82848,5
"TensorFlow, Pytorch, Python, NLP",1,2,0,0,97235,4
"TensorFlow, Pytorch, NLP",10,3,0,0,58221,8
"SQL, Python",1,3,0,2,52364,8
"Python, NLP, TensorFlow, Pytorch",9,2,0,0,95912,10
"NLP, Pytorch, Python",2,2,0,0,45134,10
"Cybersecurity, Networking, Ethical Hacking",8,4,1,1,54594,2
"Deep Learning, Machine Learning, Python",3,3,0,2,71310,1
"Cybersecurity, Networking, Ethical Hacking, Linux",2,2,3,1,59121,4
"Deep Learning, Machine Learning, SQL",7,2,0,2,118152,6
"TensorFlow, Python, NLP",10,3,3,0,95290,0
"Machine Learning, SQL, Python",3,3,2,2,119432,9
"NLP, TensorFlow, Pytorch, Python",8,2,1,0,108667,0
"C++, SQL, Java",10,3,1,3,95050,2
"TensorFlow, Pytorch, NLP, Python",4,2,0,0,103738,10
"Cybersecurity, Networking, Ethical Hacking",2,3,0,1,102929,10
"NLP, Python, Pytorch, TensorFlow",1,2,0,0,113470,4
"SQL, Deep Learning",6,2,2,2,80534,6
"NLP, TensorFlow, Python",3,3,3,0,66403,10
"SQL, Java",3,2,3,3,63531,8
"Pytorch, TensorFlow, NLP",4,2,3,0,59560,5
"C++, SQL",2,3,2,3,94346,1
"Pytorch, Python",4,3,0,0,54228,1
"Machine Learning, Python, Deep Learning, SQL",1,2,2,2,55166,4
"Python, SQL, Machine Learning",9,2,2,2,82004,2
"SQL, Python",7,4,3,2,72691,1
"Ethical Hacking, Networking, Linux",1,3,2,1,102085,6
"TensorFlow, NLP, Pytorch",5,2,0,0,88653,0
"SQL, Java",1,3,3,3,82703,0
"Python, SQL",1,3,1,2,112556,7
"TensorFlow, Pytorch, Python",8,2,0,0,78090,6
"SQL, C++",3,2,1,3,41891,4
"Linux, Ethical Hacking",10,3,2,1,71601,9
"Deep Learning, SQL",6,2,0,2,106433,0
"Deep Learning, SQL, Machine Learning",6,3,1,2,79795,8
"Python, Machine Learning",8,4,0,2,95978,4
"Machine Learning, SQL, Python",4,2,2,2,114573,8
"Pytorch, Python, TensorFlow",0,4,2,0,110862,6
"C++, React, SQL, Java",5,4,1,3,101120,5
"SQL, Python, Machine Learning",4,3,0,2,95486,6
"Pytorch, TensorFlow",0,2,1,0,98413,3
"SQL, Machine Learning",0,2,0,2,90362,8
"Deep Learning, Machine Learning, SQL, Python",2,4,3,2,50002,1
"Linux, Cybersecurity",5,3,3,1,115234,10
"Pytorch, Python",3,3,1,0,48726,0
"SQL, Python, Machine Learning, Deep Learning",6,3,1,2,112595,7
"Ethical Hacking, Networking, Linux",8,4,3,1,97521,7
"TensorFlow, Pytorch, Python, NLP",10,2,0,0,94952,6
"NLP, Pytorch",0,2,1,0,87556,10
"Ethical Hacking, Networking, Linux",0,2,2,1,99469,9
"Pytorch, TensorFlow, Python, NLP",4,2,2,0,45453,5
"Ethical Hacking, Cybersecurity, Linux",3,3,1,1,113725,0
"Pytorch, NLP, Python, TensorFlow",10,3,0,0,77860,1
"NLP, Python, Pytorch",1,3,0,0,97459,0
"Deep Learning, Machine Learning",0,3,1,2,103294,5
"Python, NLP, TensorFlow",10,2,3,0,62710,2
"C++, Java, React, SQL",1,4,3,3,116556,0
"Java, React",6,2,2,3,62463,0
"Python, TensorFlow, Pytorch, NLP",9,3,2,0,99238,1
"Linux, Networking",6,4,3,1,85029,9
"Machine Learning, Python, Deep Learning, SQL",9,2,2,2,107697,5
"Python, Machine Learning, Deep Learning",8,2,1,2,100425,0
"Python, TensorFlow",3,2,3,0,82959,3
"NLP, Pytorch",7,4,0,0,92104,6
"NLP, TensorFlow, Python, Pytorch",1,3,2,0,61309,2
"Cybersecurity, Ethical Hacking",2,3,1,1,84569,7
"NLP, TensorFlow, Python",3,2,0,0,62695,9
"C++, Java",2,3,1,3,85561,2
"Networking, Cybersecurity, Linux, Ethical Hacking",5,2,3,1,93770,7
"SQL, Java, C++",4,2,1,3,113251,8
"Pytorch, NLP",1,3,3,0,41731,5
"NLP, TensorFlow, Pytorch, Python",0,2,2,0,107278,1
"C++, React, Java, SQL",1,3,3,3,58823,3
"Deep Learning, Machine Learning, Python, SQL",5,2,3,2,92538,1
"SQL, C++",7,2,0,3,47957,7
"Ethical Hacking, Networking, Cybersecurity, Linux",8,2,3,1,99384,1
"Cybersecurity, Networking",0,3,1,1,42077,9
"Machine Learning, Python",8,2,3,2,40162,7
"Ethical Hacking, Networking, Linux, Cybersecurity",1,2,2,1,97517,9
"Machine Learning, Python, Deep Learning",3,3,3,2,81656,7
"NLP, Pytorch, Python",4,4,2,0,45733,9
"Python, Pytorch, NLP, TensorFlow",3,4,1,0,82727,9
"Machine Learning, Python, SQL",10,3,2,2,88678,3
"Python, TensorFlow",1,2,1,0,89941,4
"SQL, Machine Learning, Python, Deep Learning",7,3,1,2,119474,3
"SQL, Machine Learning, Deep Learning, Python",5,4,0,2,91828,10
"NLP, Pytorch, TensorFlow",9,3,1,0,67341,8
"Deep Learning, SQL, Machine Learning, Python",3,2,0,2,89915,9
"Java, C++, React, SQL",10,4,1,3,77427,10
"React, Java, C++",5,2,2,3,115813,0
"Pytorch, Python, TensorFlow",7,2,3,0,53796,3
"Linux, Ethical Hacking, Cybersecurity, Networking",8,3,0,1,45438,3
"Networking, Ethical Hacking, Linux",3,3,3,1,101694,8
"Ethical Hacking, Cybersecurity",0,3,0,1,68407,4
"Networking, Linux, Ethical Hacking, Cybersecurity",3,3,0,1,115553,9
"C++, Java, SQL",3,4,1,3,98746,4
"Java, SQL",8,3,1,3,96786,4
"React, C++, SQL, Java",7,3,2,3,67871,10
"Linux, Networking, Ethical Hacking, Cybersecurity",8,2,0,1,111242,5
"Networking, Linux",3,3,1,1,102962,7
"Deep Learning, Machine Learning, SQL, Python",1,3,1,2,79991,10
"SQL, C++",1,2,0,3,45422,10
"Python, Deep Learning, SQL",7,3,1,2,104836,5
"SQL, Java, C++, React",0,2,0,3,53699,8
"NLP, TensorFlow, Pytorch",7,3,3,0,88358,4
"C++, React, Java",10,2,2,3,117566,8
"Java, React, C++",0,4,1,3,47445,2
"C++, Java, React",5,3,0,3,76625,10
"Pytorch, TensorFlow",3,2,0,0,58215,9
"Pytorch, TensorFlow",5,4,0,0,43681,4
"Machine Learning, Python, SQL",0,3,2,2,116814,5
"Linux, Cybersecurity, Networking, Ethical Hacking",6,2,0,1,109463,6
"Ethical Hacking, Linux, Cybersecurity",4,3,3,1,52722,9
"Networking, Cybersecurity",5,3,3,1,40736,6
"Python, TensorFlow, Pytorch, NLP",6,2,3,0,78872,4
"Python, Deep Learning",9,2,0,2,108567,1
"C++, SQL",2,3,0,3,83223,4
"Deep Learning, Machine Learning, SQL, Python",8,3,0,2,51283,4
"Ethical Hacking, Linux, Networking",7,2,3,1,63601,10
"Linux, Cybersecurity, Ethical Hacking",10,3,1,1,56768,3
"Python, SQL, Machine Learning",0,2,0,2,112663,7
"Pytorch, NLP, Python",10,3,2,0,85192,2
"React, C++, SQL, Java",9,4,1,3,68203,9
"Pytorch, TensorFlow, Python",6,2,3,0,65283,7
"TensorFlow, Python, NLP",3,2,3,0,41769,3
"Linux, Networking, Ethical Hacking",7,2,3,1,79874,6
"SQL, Machine Learning, Deep Learning, Python",6,3,1,2,117621,5
"Pytorch, Python, TensorFlow",5,3,0,0,77117,6
"C++, SQL, React",8,2,2,3,99288,4
"Cybersecurity, Ethical Hacking, Networking, Linux",6,3,2,1,89696,10
"TensorFlow, NLP, Pytorch",10,2,3,0,104895,8
"Python, TensorFlow, NLP, Pytorch",5,3,3,0,74282,7
"Python, TensorFlow, Pytorch, NLP",5,4,2,0,104955,0
"Cybersecurity, Linux",2,3,1,1,118103,1
"Linux, Cybersecurity, Ethical Hacking",7,2,3,1,41678,8
"Cybersecurity, Linux, Ethical Hacking",7,3,1,1,81422,10
"NLP, Python",5,2,0,0,105979,3
"Python, SQL, Machine Learning, Deep Learning",0,3,1,2,69800,6
"Python, NLP, Pytorch, TensorFlow",8,2,0,0,71605,3
"NLP, TensorFlow",2,2,0,0,52471,10
"Cybersecurity, Linux",9,4,3,1,77138,0
"Pytorch, TensorFlow, Python",8,3,3,0,82202,5
