Skills,Experience,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,AI_Score,Recruiter_Decision,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelB_Hire_Prob,ModelB_Prediction,ModelB_Pred_Label,ModelB_Rank
"SQL, C++",7,B.Sc,AWS Certified,Software Engineer,47957,7,100.0,Hire,2,0,3,0,0.9784,1,Hire,192
"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,47957,5,100.0,Hire,2,2,1,1,0.9784,1,Hire,192
"C++, React, SQL, Java",5,M.Tech,None,Software Engineer,48105,6,84.8,Hire,3,3,3,2,0.9784,1,Hire,192
"Machine Learning, Deep Learning, Python",10,M.Tech,Google ML,Data Scientist,47998,10,94.5,Hire,3,2,2,2,0.9784,1,Hire,192
"TensorFlow, NLP, Pytorch, Python",8,M.Tech,Google ML,AI Researcher,53090,6,92.8,Hire,3,2,0,2,0.9766,1,Hire,196
"TensorFlow, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,53035,10,97.3,Hire,3,1,0,2,0.9766,1,Hire,196
"Cybersecurity, Ethical Hacking, Networking, Linux",3,MBA,None,Cybersecurity Analyst,53096,7,93.0,Hire,3,3,1,3,0.9766,1,Hire,196
"C++, React",10,M.Tech,Deep Learning Specialization,Software Engineer,49673,5,100.0,Hire,3,1,3,2,0.9765,1,Hire,199
"Java, React, SQL",4,PhD,Deep Learning Specialization,Software Engineer,49673,7,100.0,Hire,4,1,3,4,0.9765,1,Hire,199
"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,49367,3,75.8,Hire,2,2,3,0,0.9765,1,Hire,199
"NLP, Python, TensorFlow",7,MBA,AWS Certified,AI Researcher,49447,10,100.0,Hire,3,0,0,3,0.9765,1,Hire,199
"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,72756,4,83.0,Hire,2,0,3,0,0.9747,1,Hire,203
"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,None,Data Scientist,72780,9,100.0,Hire,2,3,2,0,0.9747,1,Hire,203
"NLP, Python, TensorFlow, Pytorch",2,PhD,Deep Learning Specialization,AI Researcher,72948,10,100.0,Hire,4,1,0,4,0.9747,1,Hire,203
"Linux, Cybersecurity",2,PhD,AWS Certified,Cybersecurity Analyst,48427,1,46.8,Hire,4,0,1,4,0.9722,1,Hire,206
"Machine Learning, Deep Learning, SQL",3,PhD,AWS Certified,Data Scientist,48470,7,93.7,Hire,4,0,2,4,0.9722,1,Hire,206
"React, SQL, Java",0,B.Tech,AWS Certified,Software Engineer,49006,3,38.2,Reject,2,0,3,1,0.9722,1,Hire,206
"Java, SQL, React",5,MBA,None,Software Engineer,49176,8,90.2,Hire,3,3,3,3,0.9722,1,Hire,206
"SQL, Java, React",1,M.Tech,AWS Certified,Software Engineer,48917,3,47.6,Hire,3,0,3,2,0.9722,1,Hire,206
"Networking, Linux, Cybersecurity",1,PhD,Google ML,Cybersecurity Analyst,48456,8,83.0,Hire,4,2,1,4,0.9722,1,Hire,206
"Pytorch, Python",3,MBA,Deep Learning Specialization,AI Researcher,48726,0,51.0,Hire,3,1,0,3,0.9722,1,Hire,206
"C++, SQL, React",10,M.Tech,Deep Learning Specialization,Software Engineer,48829,5,96.5,Hire,3,1,3,2,0.9722,1,Hire,206
"TensorFlow, NLP, Pytorch, Python",4,M.Tech,AWS Certified,AI Researcher,48906,7,100.0,Hire,3,0,0,2,0.9722,1,Hire,206
"Networking, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,102962,7,82.4,Hire,3,1,1,2,0.9717,1,Hire,215
"Cybersecurity, Networking, Linux, Ethical Hacking",6,B.Sc,None,Cybersecurity Analyst,102518,7,100.0,Hire,2,3,1,0,0.9717,1,Hire,215
"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Google ML,Cybersecurity Analyst,102247,8,100.0,Hire,3,2,1,3,0.9717,1,Hire,215
"SQL, React, C++, Java",8,M.Tech,Google ML,Software Engineer,102924,7,100.0,Hire,3,2,3,2,0.9717,1,Hire,215
"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,103006,7,82.1,Hire,3,0,0,2,0.9717,1,Hire,215
"Python, Pytorch",5,MBA,Deep Learning Specialization,AI Researcher,103073,10,100.0,Hire,3,1,0,3,0.9717,1,Hire,215
"Ethical Hacking, Cybersecurity, Linux, Networking",0,MBA,Google ML,Cybersecurity Analyst,102527,7,70.9,Hire,3,2,1,3,0.9717,1,Hire,215
"React, C++",9,B.Sc,None,Software Engineer,102113,6,100.0,Hire,2,3,3,0,0.9717,1,Hire,215
"Linux, Ethical Hacking, Cybersecurity",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,102480,5,99.4,Hire,4,1,1,4,0.9717,1,Hire,215
"React, SQL, Java",5,PhD,Google ML,Software Engineer,102333,10,97.2,Hire,4,2,3,4,0.9717,1,Hire,215
"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,102929,10,95.2,Hire,3,0,1,2,0.9717,1,Hire,215
"NLP, TensorFlow, Python, Pytorch",6,MBA,AWS Certified,AI Researcher,102676,0,89.5,Hire,3,0,0,3,0.9717,1,Hire,215
"Cybersecurity, Ethical Hacking, Networking, Linux",1,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,102390,6,69.8,Hire,3,1,1,2,0.9717,1,Hire,215
"Networking, Linux, Cybersecurity, Ethical Hacking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,102150,3,98.3,Hire,3,1,1,2,0.9717,1,Hire,215
"Networking, Linux, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,102914,6,79.6,Hire,3,0,1,3,0.9717,1,Hire,215
"NLP, Pytorch, TensorFlow",8,MBA,Deep Learning Specialization,AI Researcher,102267,6,95.5,Hire,3,1,0,3,0.9717,1,Hire,215
"Networking, Ethical Hacking",3,B.Sc,Google ML,Cybersecurity Analyst,45918,0,52.6,Hire,2,2,1,0,0.9708,1,Hire,231
"C++, React, SQL",0,MBA,None,Software Engineer,45815,7,59.4,Hire,3,3,3,3,0.9708,1,Hire,231
"Linux, Ethical Hacking, Networking",5,B.Sc,AWS Certified,Cybersecurity Analyst,45733,0,80.2,Hire,2,0,1,0,0.9708,1,Hire,231
"NLP, Pytorch, Python",4,PhD,Google ML,AI Researcher,45733,9,100.0,Hire,4,2,0,4,0.9708,1,Hire,231
"C++, Java",2,MBA,Deep Learning Specialization,Software Engineer,85561,2,58.0,Hire,3,1,3,3,0.97,1,Hire,235
"React, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,85526,1,77.0,Hire,2,1,3,0,0.97,1,Hire,235
"Ethical Hacking, Linux, Cybersecurity, Networking",6,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,85255,10,100.0,Hire,2,1,1,0,0.97,1,Hire,235
"Pytorch, NLP, Python",10,MBA,Google ML,AI Researcher,85192,2,99.5,Hire,3,2,0,3,0.97,1,Hire,235
"TensorFlow, Python",5,B.Sc,None,AI Researcher,114286,6,90.3,Hire,2,3,0,0,0.9687,1,Hire,239
"Cybersecurity, Linux, Ethical Hacking",0,B.Sc,None,Cybersecurity Analyst,114364,9,60.3,Hire,2,3,1,0,0.9687,1,Hire,239
"Machine Learning, SQL, Python",4,B.Sc,Google ML,Data Scientist,114573,8,97.6,Hire,2,2,2,0,0.9687,1,Hire,239
"Linux, Cybersecurity, Ethical Hacking",8,MBA,Deep Learning Specialization,Cybersecurity Analyst,114489,9,86.7,Hire,3,1,1,3,0.9687,1,Hire,239
"Python, Machine Learning",5,B.Sc,None,Data Scientist,65003,1,66.9,Hire,2,3,2,0,0.9676,1,Hire,243
"Pytorch, TensorFlow",2,MBA,AWS Certified,AI Researcher,65012,6,70.3,Hire,3,0,0,3,0.9676,1,Hire,243
"TensorFlow, NLP",6,PhD,AWS Certified,AI Researcher,64951,8,100.0,Hire,4,0,0,4,0.9676,1,Hire,243
"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,64888,5,95.1,Hire,3,0,1,3,0.9676,1,Hire,243
"React, C++, SQL, Java",4,B.Tech,Deep Learning Specialization,Software Engineer,90345,7,90.2,Hire,2,1,3,1,0.9668,1,Hire,247
"Ethical Hacking, Linux, Networking, Cybersecurity",6,MBA,None,Cybersecurity Analyst,90173,4,99.6,Hire,3,3,1,3,0.9668,1,Hire,247
"SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,90362,8,56.9,Hire,2,0,2,1,0.9668,1,Hire,247
"SQL, Java, C++",2,B.Sc,AWS Certified,Software Engineer,90151,1,56.6,Hire,2,0,3,0,0.9668,1,Hire,247
"React, Java",3,M.Tech,AWS Certified,Software Engineer,105280,9,96.0,Hire,3,0,3,2,0.9648,1,Hire,251
"React, SQL, Java",1,B.Sc,Google ML,Software Engineer,105524,9,82.0,Hire,2,2,3,0,0.9648,1,Hire,251
"Linux, Networking, Cybersecurity",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,105232,1,65.5,Hire,3,1,1,2,0.9648,1,Hire,251
"Cybersecurity, Linux, Ethical Hacking",3,MBA,None,Cybersecurity Analyst,103993,9,83.0,Hire,3,3,1,3,0.9641,1,Hire,254
"Networking, Cybersecurity, Linux, Ethical Hacking",8,MBA,Google ML,Cybersecurity Analyst,104087,4,94.8,Hire,3,2,1,3,0.9641,1,Hire,254
"C++, Java, React, SQL",10,MBA,Deep Learning Specialization,Software Engineer,103925,9,100.0,Hire,3,1,3,3,0.9641,1,Hire,254
"Machine Learning, Python, Deep Learning",9,B.Tech,None,Data Scientist,93707,0,100.0,Hire,2,3,2,1,0.964,1,Hire,257
"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,92270,3,100.0,Hire,3,1,1,3,0.964,1,Hire,257
"Cybersecurity, Linux, Networking, Ethical Hacking",0,MBA,None,Cybersecurity Analyst,92175,10,65.1,Hire,3,3,1,3,0.964,1,Hire,257
"Networking, Cybersecurity",3,PhD,None,Cybersecurity Analyst,93508,4,62.9,Hire,4,3,1,4,0.964,1,Hire,257
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,None,Data Scientist,92538,1,76.8,Hire,2,3,2,1,0.964,1,Hire,257
"Python, SQL, Deep Learning",10,B.Tech,None,Data Scientist,92689,8,100.0,Hire,2,3,2,1,0.964,1,Hire,257
"Ethical Hacking, Cybersecurity, Networking, Linux",3,MBA,Google ML,Cybersecurity Analyst,93303,1,70.3,Hire,3,2,1,3,0.964,1,Hire,257
"Java, React, SQL",4,PhD,AWS Certified,Software Engineer,92781,0,66.2,Reject,4,0,3,4,0.964,1,Hire,257
"Ethical Hacking, Linux",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,93214,2,97.2,Hire,2,1,1,1,0.964,1,Hire,257
"Networking, Cybersecurity, Linux, Ethical Hacking",5,B.Sc,None,Cybersecurity Analyst,93770,7,100.0,Hire,2,3,1,0,0.964,1,Hire,257
"SQL, Deep Learning, Python",0,B.Tech,Google ML,Data Scientist,93534,5,50.4,Hire,2,2,2,1,0.964,1,Hire,257
"Python, Deep Learning, SQL, Machine Learning",9,MBA,None,Data Scientist,93197,0,95.5,Hire,3,3,2,3,0.964,1,Hire,257
"Ethical Hacking, Networking, Linux, Cybersecurity",0,B.Tech,None,Cybersecurity Analyst,93079,2,26.4,Hire,2,3,1,1,0.964,1,Hire,257
"Ethical Hacking, Cybersecurity",5,PhD,Google ML,Cybersecurity Analyst,92506,5,96.1,Hire,4,2,1,4,0.964,1,Hire,257
"Networking, Linux, Ethical Hacking, Cybersecurity",7,PhD,None,Cybersecurity Analyst,92893,7,92.9,Hire,4,3,1,4,0.964,1,Hire,257
"React, SQL, C++, Java",8,B.Sc,None,Software Engineer,93647,10,100.0,Hire,2,3,3,0,0.964,1,Hire,257
"Networking, Ethical Hacking, Cybersecurity",10,B.Sc,Google ML,Cybersecurity Analyst,92197,5,100.0,Hire,2,2,1,0,0.964,1,Hire,257
"C++, Java, SQL",2,MBA,Google ML,Software Engineer,62255,7,74.9,Hire,3,2,3,3,0.961,1,Hire,274
"Python, NLP, TensorFlow",7,B.Sc,Google ML,AI Researcher,62487,8,94.9,Hire,2,2,0,0,0.961,1,Hire,274
"SQL, React, Java",2,MBA,Google ML,Software Engineer,62666,1,48.1,Hire,3,2,3,3,0.961,1,Hire,274
"NLP, TensorFlow, Python",3,B.Tech,AWS Certified,AI Researcher,62695,9,95.6,Hire,2,0,0,1,0.961,1,Hire,274
"Java, React",6,B.Sc,Google ML,Software Engineer,62463,0,78.4,Hire,2,2,3,0,0.961,1,Hire,274
"TensorFlow, Pytorch",2,B.Sc,None,AI Researcher,62312,1,44.0,Hire,2,3,0,0,0.961,1,Hire,274
"Python, NLP, TensorFlow",10,B.Tech,None,AI Researcher,62710,2,94.6,Hire,2,3,0,1,0.961,1,Hire,274
"Cybersecurity, Ethical Hacking, Networking",0,MBA,Google ML,Cybersecurity Analyst,62708,5,42.8,Reject,3,2,1,3,0.961,1,Hire,274
"Cybersecurity, Ethical Hacking, Linux, Networking",7,PhD,None,Cybersecurity Analyst,62406,1,87.7,Hire,4,3,1,4,0.961,1,Hire,274
"Java, React, C++",1,PhD,None,Software Engineer,62647,3,40.6,Hire,4,3,3,4,0.961,1,Hire,274
"Python, NLP, Pytorch, TensorFlow",8,B.Tech,AWS Certified,AI Researcher,71605,3,99.0,Hire,2,0,0,1,0.9608,1,Hire,284
"Ethical Hacking, Networking",10,M.Tech,AWS Certified,Cybersecurity Analyst,71504,6,95.0,Hire,3,0,1,2,0.9608,1,Hire,284
"Linux, Ethical Hacking",10,M.Tech,Google ML,Cybersecurity Analyst,71601,9,100.0,Hire,3,2,1,2,0.9608,1,Hire,284
"SQL, Machine Learning",4,MBA,Google ML,Data Scientist,42621,5,78.6,Reject,3,2,2,3,0.9591,1,Hire,287
"NLP, Python, TensorFlow",1,PhD,Deep Learning Specialization,AI Researcher,42249,7,77.4,Hire,4,1,0,4,0.9591,1,Hire,287
"Python, Deep Learning, Machine Learning, SQL",2,B.Tech,Deep Learning Specialization,Data Scientist,42356,3,67.4,Hire,2,1,2,1,0.9591,1,Hire,287
"Pytorch, Python",7,B.Tech,None,AI Researcher,42236,6,92.5,Hire,2,3,0,1,0.9591,1,Hire,287
"TensorFlow, NLP, Python, Pytorch",4,M.Tech,AWS Certified,AI Researcher,42305,10,100.0,Hire,3,0,0,2,0.9591,1,Hire,287
"Cybersecurity, Networking",3,PhD,None,Cybersecurity Analyst,42368,9,85.8,Hire,4,3,1,4,0.9591,1,Hire,287
"Deep Learning, SQL",6,B.Tech,AWS Certified,Data Scientist,106433,0,80.7,Hire,2,0,2,1,0.9587,1,Hire,293
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,106352,10,100.0,Hire,2,2,0,0,0.9587,1,Hire,293
"Networking, Ethical Hacking",2,PhD,AWS Certified,Cybersecurity Analyst,106309,7,82.8,Hire,4,0,1,4,0.9587,1,Hire,293
"Pytorch, NLP, TensorFlow",7,B.Sc,Deep Learning Specialization,AI Researcher,106421,2,99.7,Hire,2,1,0,0,0.9587,1,Hire,293
"TensorFlow, Pytorch, Python, NLP",1,B.Sc,AWS Certified,AI Researcher,97235,4,62.1,Reject,2,0,0,0,0.9583,1,Hire,297
"Python, Pytorch, TensorFlow",9,MBA,AWS Certified,AI Researcher,97312,1,89.3,Hire,3,0,0,3,0.9583,1,Hire,297
"Pytorch, Python",9,PhD,Deep Learning Specialization,AI Researcher,97435,7,99.5,Hire,4,1,0,4,0.9583,1,Hire,297
"Deep Learning, SQL, Python, Machine Learning",5,M.Tech,AWS Certified,Data Scientist,97148,1,84.7,Hire,3,0,2,2,0.9583,1,Hire,297
"React, SQL, C++",6,M.Tech,Google ML,Software Engineer,100827,10,100.0,Hire,3,2,3,2,0.9581,1,Hire,301
"Networking, Cybersecurity, Linux, Ethical Hacking",10,B.Tech,None,Cybersecurity Analyst,101100,10,97.3,Hire,2,3,1,1,0.9581,1,Hire,301
"C++, React, SQL, Java",5,PhD,Deep Learning Specialization,Software Engineer,101120,5,100.0,Hire,4,1,3,4,0.9581,1,Hire,301
"C++, React",10,MBA,AWS Certified,Software Engineer,101108,9,97.4,Hire,3,0,3,3,0.9581,1,Hire,301
"Deep Learning, Python, Machine Learning",6,B.Tech,Google ML,Data Scientist,89840,2,98.1,Hire,2,2,2,1,0.958,1,Hire,305
"Python, TensorFlow",1,B.Sc,Deep Learning Specialization,AI Researcher,89941,4,55.6,Hire,2,1,0,0,0.958,1,Hire,305
"Deep Learning, SQL, Machine Learning, Python",3,B.Sc,AWS Certified,Data Scientist,89915,9,100.0,Hire,2,0,2,0,0.958,1,Hire,305
"Networking, Linux, Cybersecurity, Ethical Hacking",6,PhD,Google ML,Cybersecurity Analyst,58947,8,100.0,Hire,4,2,1,4,0.9577,1,Hire,308
"Ethical Hacking, Networking, Linux",1,B.Sc,None,Cybersecurity Analyst,58606,10,69.4,Hire,2,3,1,0,0.9577,1,Hire,308
"C++, React, Java, SQL",1,M.Tech,None,Software Engineer,58823,3,47.5,Reject,3,3,3,2,0.9577,1,Hire,308
"Ethical Hacking, Cybersecurity",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,58775,3,95.0,Hire,2,1,1,1,0.9577,1,Hire,308
"React, C++, Java, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,58910,7,95.5,Hire,3,1,3,2,0.9577,1,Hire,308
"Pytorch, NLP, Python, TensorFlow",1,MBA,None,AI Researcher,84774,9,73.0,Hire,3,3,0,3,0.956,1,Hire,313
"SQL, Java, C++",9,B.Tech,AWS Certified,Software Engineer,84959,6,100.0,Hire,2,0,3,1,0.956,1,Hire,313
"Python, SQL",4,PhD,None,Data Scientist,84679,10,100.0,Hire,4,3,2,4,0.956,1,Hire,313
"Linux, Networking",6,PhD,None,Cybersecurity Analyst,85029,9,96.2,Hire,4,3,1,4,0.956,1,Hire,313
"Cybersecurity, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,92129,3,100.0,Hire,2,1,1,1,0.9547,1,Hire,317
"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,98024,2,44.3,Reject,2,1,2,1,0.9547,1,Hire,317
"Networking, Cybersecurity, Ethical Hacking, Linux",4,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,98013,4,89.2,Hire,2,1,1,1,0.9547,1,Hire,317
"Java, C++, React, SQL",4,B.Sc,None,Software Engineer,98181,8,91.2,Hire,2,3,3,0,0.9547,1,Hire,317
"Python, NLP",1,M.Tech,Google ML,AI Researcher,98317,1,33.9,Hire,3,2,0,2,0.9547,1,Hire,317
"NLP, Pytorch",7,PhD,AWS Certified,AI Researcher,92104,6,92.7,Hire,4,0,0,4,0.9547,1,Hire,317
"Networking, Cybersecurity, Ethical Hacking, Linux",4,M.Tech,Google ML,Cybersecurity Analyst,91996,8,100.0,Hire,3,2,1,2,0.9547,1,Hire,317
"Python, Machine Learning",8,PhD,Google ML,Data Scientist,103477,9,100.0,Hire,4,2,2,4,0.9534,1,Hire,324
"Deep Learning, Machine Learning",4,PhD,AWS Certified,Data Scientist,103828,0,58.4,Hire,4,0,2,4,0.9534,1,Hire,324
"React, Java, C++",6,B.Sc,AWS Certified,Software Engineer,103874,5,100.0,Hire,2,0,3,0,0.9534,1,Hire,324
"TensorFlow, Pytorch, NLP, Python",4,B.Sc,AWS Certified,AI Researcher,103738,10,99.5,Hire,2,0,0,0,0.9534,1,Hire,324
"Networking, Linux, Ethical Hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,47001,10,82.9,Hire,3,1,1,2,0.9528,1,Hire,328
"Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,46896,8,100.0,Hire,3,0,1,3,0.9528,1,Hire,328
"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,46848,0,91.0,Hire,2,0,0,1,0.9528,1,Hire,328
"Java, C++, SQL, React",4,B.Tech,None,Software Engineer,46950,7,95.2,Hire,2,3,3,1,0.9528,1,Hire,328
"SQL, Java",8,B.Tech,AWS Certified,Software Engineer,83833,8,99.3,Hire,2,0,3,1,0.9522,1,Hire,332
"Ethical Hacking, Linux",6,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,83470,2,92.1,Hire,2,1,1,1,0.9522,1,Hire,332
"Networking, Linux, Cybersecurity, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,83474,0,100.0,Hire,3,1,1,3,0.9522,1,Hire,332
"Java, SQL",2,M.Tech,AWS Certified,Software Engineer,83473,10,91.9,Hire,3,0,3,2,0.9522,1,Hire,332
"C++, SQL, Java",1,PhD,Deep Learning Specialization,Software Engineer,68682,7,68.8,Hire,4,1,3,4,0.9518,1,Hire,336
"Cybersecurity, Networking, Linux",8,M.Tech,Google ML,Cybersecurity Analyst,68492,4,100.0,Hire,3,2,1,2,0.9518,1,Hire,336
"NLP, Python, Pytorch, TensorFlow",3,MBA,AWS Certified,AI Researcher,68738,6,89.9,Hire,3,0,0,3,0.9518,1,Hire,336
"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,68447,10,98.7,Hire,2,1,0,1,0.9518,1,Hire,336
"SQL, React, Java, C++",9,MBA,Google ML,Software Engineer,95141,7,93.3,Hire,3,2,3,3,0.9509,1,Hire,340
"Machine Learning, SQL, Python",10,PhD,None,Data Scientist,95170,6,92.7,Hire,4,3,2,4,0.9509,1,Hire,340
"C++, SQL, Java",10,M.Tech,Deep Learning Specialization,Software Engineer,95050,2,100.0,Hire,3,1,3,2,0.9509,1,Hire,340
"React, Java, SQL, C++",5,PhD,Deep Learning Specialization,Software Engineer,94954,10,97.3,Hire,4,1,3,4,0.9509,1,Hire,340
"Ethical Hacking, Cybersecurity, Networking",2,PhD,Deep Learning Specialization,Cybersecurity Analyst,117219,5,74.6,Hire,4,1,1,4,0.9507,1,Hire,344
"Networking, Ethical Hacking",1,PhD,Google ML,Cybersecurity Analyst,117535,8,65.2,Hire,4,2,1,4,0.9507,1,Hire,344
"C++, SQL, Java, React",7,B.Sc,None,Software Engineer,117476,10,100.0,Hire,2,3,3,0,0.9507,1,Hire,344
"C++, React, Java",10,B.Sc,Google ML,Software Engineer,117566,8,99.5,Hire,2,2,3,0,0.9507,1,Hire,344
"Pytorch, TensorFlow",3,B.Tech,AWS Certified,AI Researcher,58215,9,98.7,Hire,2,0,0,1,0.9496,1,Hire,348
"Deep Learning, Machine Learning, SQL",1,B.Tech,None,Data Scientist,58515,6,52.7,Hire,2,3,2,1,0.9496,1,Hire,348
"TensorFlow, Pytorch, NLP",10,M.Tech,AWS Certified,AI Researcher,58221,8,98.6,Hire,3,0,0,2,0.9496,1,Hire,348
"SQL, Machine Learning, Python, Deep Learning",2,MBA,AWS Certified,Data Scientist,58438,6,84.9,Hire,3,0,2,3,0.9496,1,Hire,348
"C++, Java, SQL, React",2,M.Tech,AWS Certified,Software Engineer,54193,0,42.2,Hire,3,0,3,2,0.949,1,Hire,352
"Python, Deep Learning, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,72251,6,50.5,Reject,2,0,2,1,0.949,1,Hire,352
"Cybersecurity, Ethical Hacking, Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,72178,3,66.2,Hire,2,2,1,0,0.949,1,Hire,352
"SQL, Python",7,PhD,None,Data Scientist,72691,1,77.0,Hire,4,3,2,4,0.949,1,Hire,352
"TensorFlow, NLP, Python",4,MBA,AWS Certified,AI Researcher,72225,6,86.7,Hire,3,0,0,3,0.949,1,Hire,352
"Java, React",6,PhD,Deep Learning Specialization,Software Engineer,54170,7,93.2,Hire,4,1,3,4,0.949,1,Hire,352
"Networking, Cybersecurity, Ethical Hacking",7,PhD,None,Cybersecurity Analyst,54150,0,85.8,Hire,4,3,1,4,0.949,1,Hire,352
"Pytorch, Python",4,B.Sc,AWS Certified,AI Researcher,72233,9,94.2,Hire,2,0,0,0,0.949,1,Hire,352
"Machine Learning, Deep Learning, Python",7,B.Tech,Deep Learning Specialization,Data Scientist,99741,0,100.0,Hire,2,1,2,1,0.9482,1,Hire,360
"Machine Learning, Python, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,99842,4,82.2,Hire,2,0,2,1,0.9482,1,Hire,360
"SQL, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,99679,5,74.7,Hire,2,0,2,1,0.9482,1,Hire,360
"Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,75477,6,100.0,Hire,2,1,3,0,0.9468,1,Hire,363
"React, SQL, Java, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,75828,4,100.0,Hire,2,1,3,0,0.9468,1,Hire,363
"NLP, TensorFlow, Pytorch, Python",6,B.Tech,Google ML,AI Researcher,75755,0,88.5,Hire,2,2,0,1,0.9468,1,Hire,363
"NLP, Pytorch, Python",8,MBA,None,AI Researcher,75898,3,98.8,Hire,3,3,0,3,0.9468,1,Hire,363
"React, SQL",7,B.Tech,AWS Certified,Software Engineer,75572,0,95.1,Hire,2,0,3,1,0.9468,1,Hire,363
"Python, Pytorch, TensorFlow, NLP",7,B.Sc,Google ML,AI Researcher,75507,7,92.2,Hire,2,2,0,0,0.9468,1,Hire,363
"React, Java",5,MBA,None,Software Engineer,75717,7,99.5,Hire,3,3,3,3,0.9468,1,Hire,363
"Ethical Hacking, Networking",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,75810,7,98.8,Hire,2,1,1,1,0.9468,1,Hire,363
"Deep Learning, SQL, Machine Learning, Python",3,PhD,Google ML,Data Scientist,75861,1,71.5,Reject,4,2,2,4,0.9468,1,Hire,363
"Networking, Linux, Ethical Hacking, Cybersecurity",4,B.Tech,None,Cybersecurity Analyst,75555,0,62.7,Hire,2,3,1,1,0.9468,1,Hire,363
"Python, Machine Learning",7,B.Sc,AWS Certified,Data Scientist,55994,2,90.2,Hire,2,0,2,0,0.9467,1,Hire,373
"Cybersecurity, Ethical Hacking",6,MBA,AWS Certified,Cybersecurity Analyst,56096,8,99.9,Hire,3,0,1,3,0.9467,1,Hire,373
"Pytorch, NLP, Python, TensorFlow",5,B.Tech,None,AI Researcher,56104,6,93.5,Hire,2,3,0,1,0.9467,1,Hire,373
"TensorFlow, Pytorch, Python, NLP",4,MBA,AWS Certified,AI Researcher,61757,2,85.7,Hire,3,0,0,3,0.944,1,Hire,376
"Python, NLP, Pytorch, TensorFlow",4,B.Sc,None,AI Researcher,61931,8,97.5,Hire,2,3,0,0,0.944,1,Hire,376
"Linux, Ethical Hacking, Cybersecurity, Networking",7,B.Tech,AWS Certified,Cybersecurity Analyst,61624,1,94.0,Hire,2,0,1,1,0.944,1,Hire,376
"Ethical Hacking, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,61633,4,100.0,Hire,3,1,1,3,0.944,1,Hire,376
"SQL, C++",7,M.Tech,Deep Learning Specialization,Software Engineer,61986,5,100.0,Hire,3,1,3,2,0.944,1,Hire,376
"SQL, Machine Learning, Deep Learning",8,M.Tech,None,Data Scientist,61880,8,100.0,Hire,3,3,2,2,0.944,1,Hire,376
"Networking, Linux, Ethical Hacking, Cybersecurity",10,B.Tech,Google ML,Cybersecurity Analyst,61659,10,99.0,Hire,2,2,1,1,0.944,1,Hire,376
"SQL, Machine Learning, Deep Learning, Python",5,B.Tech,None,Data Scientist,89620,3,74.5,Hire,2,3,2,1,0.9437,1,Hire,383
"Python, Machine Learning",10,MBA,Google ML,Data Scientist,89482,5,91.8,Hire,3,2,2,3,0.9437,1,Hire,383
